departamento|sexo|total_muertes
AMAZONAS|1|1375
AMAZONAS|2|715
ANTIOQUIA|1|2372250
ANTIOQUIA|2|1935125
ANTIOQUIA|3|1750
ARAUCA|1|5187
ARAUCA|2|2961
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|1|296
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA|2|182
ATLANTICO|1|178917
ATLANTICO|2|161575
BOGOTA, D.C.|1|20058
BOGOTA, D.C.|2|18679
BOGOTA, D.C.|3|23
BOLIVAR|1|220524
BOLIVAR|2|189474
BOLIVAR|3|92
BOYACA|1|412050
BOYACA|2|331854
BOYACA|3|492
CALDAS|1|85995
CALDAS|2|73818
CAQUETA|1|16096
CAQUETA|2|9680
CAQUETA|3|240
CASANARE|1|15903
CASANARE|2|10792
CAUCA|1|139860
CAUCA|2|96684
CAUCA|3|42
CESAR|1|78050
CESAR|2|56100
CESAR|3|50
CHOCO|1|22692
CHOCO|2|14756
CHOCO|3|62
CORDOBA|1|131340
CORDOBA|2|102090
CORDOBA|3|90
CUNDINAMARCA|1|728132
CUNDINAMARCA|2|568864
CUNDINAMARCA|3|464
GUAINIA|1|702
GUAINIA|2|333
GUAVIARE|1|740
GUAVIARE|2|220
GUAVIARE|3|4
HUILA|1|127724
HUILA|2|100381
LA GUAJIRA|1|22290
LA GUAJIRA|2|17130
LA GUAJIRA|3|15
MAGDALENA|1|84960
MAGDALENA|2|67860
MAGDALENA|3|30
META|1|82940
META|2|59479
NARINO|1|274624
NARINO|2|226688
NARINO|3|256
NORTE DE SANTANDER|1|191200
NORTE DE SANTANDER|2|140400
NORTE DE SANTANDER|3|80
PUTUMAYO|1|6812
PUTUMAYO|2|3822
PUTUMAYO|3|13
QUINDIO|1|26892
QUINDIO|2|20472
QUINDIO|3|12
RISARALDA|1|51142
RISARALDA|2|41146
RISARALDA|3|28
SANTANDER|1|559410
SANTANDER|2|475368
SUCRE|1|61126
SUCRE|2|50128
SUCRE|3|26
TOLIMA|1|215260
TOLIMA|2|164876
TOLIMA|3|94
VALLE DEL CAUCA|1|664440
VALLE DEL CAUCA|2|529872
VALLE DEL CAUCA|3|294
VAUPES|1|288
VAUPES|2|234
VICHADA|1|488
VICHADA|2|264
